ï»¿"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"RELIANCE","EQ","10-Feb-2026","1,461.60","1,471.00","1,471.00","1,452.20","1,456.20","1,458.50","1,459.23","1,02,59,630","14,97,11,96,098.30","1,81,163","30,96,776","30.18"
"RELIANCE","EQ","11-Feb-2026","1,458.50","1,459.60","1,470.00","1,453.60","1,469.00","1,468.70","1,465.14","71,06,877","10,41,25,35,997.80","2,00,342","41,10,465","57.84"
